Name,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Card 30,Deck
987358-big-priest,barnes,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,greater healing potion,greater healing potion,holy smite,holy smite,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,potion of madness,potion of madness,psychic scream,psychic scream,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,silence,the lich king,ysera,yshaarj rage unbound,2
987354-big-priest,barnes,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,holy fire,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,pint size potion,pint size potion,potion of madness,power word shield,power word shield,psychic scream,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadowreaper anduin,spirit lash,spirit lash,the lich king,ysera,2
987353-kac-dragon-priest,cobalt scalebane,divine spirit,divine spirit,dragon soul,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,inner fire,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
987342-dragon-priest,alexstrasza,book wyrm,cobalt scalebane,cobalt scalebane,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,gluttonous ooze,greater healing potion,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,priest of the feast,primordial drake,primordial drake,psychic scream,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,ysera,1
987334-dragon-priest,cabal shadow priest,cabal shadow priest,divine spirit,divine spirit,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,inner fire,lyra the sunshard,potion of madness,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,twilight acolyte,twilight acolyte,ysera,1
987322-malygod-priest,curious glimmerroot,curious glimmerroot,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,holy smite,holy smite,malygos,mind blast,mind blast,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,primordial drake,psychic scream,shadow visions,shadow visions,shadow word death,temporus,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
987320-memefiesta,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,holy nova,holy nova,lesser diamond spellstone,lesser diamond spellstone,lyra the sunshard,malygos,mass dispel,mind blast,mind blast,potion of madness,potion of madness,power word shield,power word shield,prophet velen,psychic scream,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,spirit lash,spirit lash,6
987306-k-c-dragonhatcher-rez-control,ancient of blossoms,crystalline oracle,dragonfire potion,dragonhatcher,dragonhatcher,eternal servitude,free from amber,holy nova,lesser diamond spellstone,master oakheart,mind control,northshire cleric,pint size potion,potion of madness,power word shield,primordial drake,primordial drake,shadow essence,shadow madness,shadow word death,shadow word death,shadow word horror,shadow word pain,shadow word pain,silence,sleepy dragon,sleepy dragon,tar creeper,tar creeper,ysera,-1
987282-temporus-dragon-otk,alexstrasza,book wyrm,book wyrm,curious glimmerroot,curious glimmerroot,divine spirit,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,harrison jones,inner fire,netherspite historian,netherspite historian,potion of madness,potion of madness,power word shield,power word shield,psychic scream,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,temporus,twilight acolyte,twilight acolyte,1
987267-dragon-quest-priest,arfus,awaken the makers,bone drake,cabal shadow priest,carnivorous cube,cobalt scalebane,crystalline oracle,crystalline oracle,deathwing dragonlord,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,netherspite historian,netherspite historian,nzoth the corruptor,psychic scream,shadow visions,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,twilight acolyte,twilight acolyte,twilight drake,twilight drake,twilights call,twilights call,ysera,-1
987265-k-c-dragon-priest,book wyrm,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,hoarding dragon,kabal talonpriest,kabal talonpriest,lone champion,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,ysera,1
987257-k-c-velen-ttk-priest,awaken the makers,bloodmage thalnos,circle of healing,circle of healing,coldlight oracle,coldlight oracle,holy fire,holy nova,loot hoarder,loot hoarder,mind blast,mind blast,mirage caller,mirage caller,northshire cleric,northshire cleric,polluted hoarder,polluted hoarder,power word shield,power word shield,priest of the feast,prophet velen,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow visions,spirit lash,spirit lash,temporus,-1
987255-the-dragons-in-the-catacombs,book wyrm,book wyrm,deathwing dragonlord,dragonfire potion,dragonfire potion,dragonhatcher,drakkari enchanter,drakonid operative,drakonid operative,duskbreaker,duskbreaker,master oakheart,northshire cleric,northshire cleric,potion of madness,potion of madness,primordial drake,primordial drake,psychic scream,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,the curator,twilight acolyte,twilight acolyte,ysera,1
987237-dragon-big-priest,dragon soul,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,ebon dragonsmith,eternal servitude,eternal servitude,mind blast,mind blast,northshire cleric,northshire cleric,power word shield,power word shield,priest of the feast,priest of the feast,primordial drake,psychic scream,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,temporus,the lich king,twilight acolyte,twilight acolyte,ysera,-1
987214-dragon-highlander,auchenai soulpriest,bloodmage thalnos,bone drake,circle of healing,cobalt scalebane,dragonfire potion,drakonid operative,duskbreaker,holy smite,kazakus,mind blast,netherspite historian,northshire cleric,potion of madness,power word shield,priest of the feast,primordial drake,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,twilight acolyte,twilight drake,unidentified elixir,0
987185-big-priest,barnes,blood of the ancient one,blood of the ancient one,carnivorous cube,deathwing,deathwing dragonlord,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,greater healing potion,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,silence,sleepy dragon,spirit lash,the lich king,ysera,yshaarj rage unbound,2
987116-big-priest,barnes,circle of healing,circle of healing,dragonfire potion,dragonfire potion,embrace the shadow,embrace the shadow,eternal servitude,eternal servitude,greater healing potion,greater healing potion,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,silence,silence,spirit lash,spirit lash,the lich king,ysera,yshaarj rage unbound,2
987109-dragon-priest,bone drake,cabal shadow priest,cabal shadow priest,cobalt scalebane,cobalt scalebane,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,hoarding dragon,hoarding dragon,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,pint size potion,pint size potion,power word shield,power word shield,psychic scream,shadow visions,shadow visions,shadow word death,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
987105-dragon-priest-kobold-test-1,acidic swamp ooze,book wyrm,cobalt scalebane,divine spirit,divine spirit,dragonfire potion,drakonid operative,drakonid operative,harrison jones,lyra the sunshard,marin the fox,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,primordial drake,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,spellbreaker,temporus,twilight drake,twilight drake,1
987095-draconid-agent,bone drake,bone drake,book wyrm,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,holy nova,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,primordial drake,primordial drake,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,skulking geist,the curator,twilight acolyte,twilight acolyte,ysera,1
987093-dragon-priest,bonemare,bonemare,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,harrison jones,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,primordial drake,primordial drake,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,stonehill defender,stonehill defender,twilight drake,twilight drake,void ripper,ysera,1
987063-medivh-priest-4fun,acidic swamp ooze,acidic swamp ooze,doomsayer,doomsayer,dragonfire potion,dragonfire potion,free from amber,free from amber,lone champion,lone champion,medivh the guardian,mind control,northshire cleric,northshire cleric,power word shield,power word shield,psychic scream,psychic scream,saronite chain gang,saronite chain gang,shadow visions,shadow visions,shadowreaper anduin,spiteful summoner,spiteful summoner,stonehill defender,stonehill defender,tar creeper,tar creeper,zola the gorgon,-1
987055-dragon-highlands,acolyte of pain,binding heal,bloodmage thalnos,book wyrm,curious glimmerroot,dragonfire potion,drakonid operative,duskbreaker,holy smite,kazakus,loot hoarder,mind blast,netherspite historian,northshire cleric,potion of madness,power word shield,priest of the feast,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,twilight acolyte,twilights call,unidentified elixir,0
987053-razakus-priest,acolyte of pain,binding heal,bloodmage thalnos,curious glimmerroot,dragon soul,dragonfire potion,greater healing potion,holy smite,kazakus,lone champion,loot hoarder,lyra the sunshard,mass dispel,mind blast,northshire cleric,novice engineer,potion of madness,power word shield,priest of the feast,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,wild pyromancer,0
986902-dragon-razakus-buff,alexstrasza,book wyrm,cabal shadow priest,curious glimmerroot,doomsayer,dragonfire potion,drakonid operative,duskbreaker,harrison jones,kazakus,loot hoarder,mind blast,netherspite historian,northshire cleric,novice engineer,pint size potion,potion of madness,power word shield,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word horror,shadow word pain,shadowreaper anduin,silence,twilight acolyte,twilight drake,0
986901-k-c-highlander,binding heal,book wyrm,circle of healing,cobalt scalebane,dragonfire potion,drakonid operative,duskbreaker,holy smite,kazakus,loot hoarder,mind blast,netherspite historian,northshire cleric,novice engineer,potion of madness,power word shield,priest of the feast,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,tar creeper,twilight drake,zola the gorgon,0
986853-dragon-priest,book wyrm,book wyrm,cabal shadow priest,cabal shadow priest,cobalt scalebane,cobalt scalebane,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,psychic scream,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,zola the gorgon,1
986851-dragon-control-preist,book wyrm,curious glimmerroot,curious glimmerroot,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,primordial drake,primordial drake,radiant elemental,radiant elemental,shadow word pain,shadow word pain,stampeding kodo,the curator,twilight acolyte,twilight drake,twilight drake,1
986848-kobolds-dragon-priest,bone drake,bone drake,cobalt scalebane,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,netherspite historian,netherspite historian,potion of madness,potion of madness,power word shield,power word shield,primordial drake,primordial drake,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,temporus,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
986844-raza-preist-with-dragons,acolyte of pain,binding heal,bloodmage thalnos,book wyrm,curious glimmerroot,dragonfire potion,drakonid operative,duskbreaker,harrison jones,holy smite,kabal talonpriest,kazakus,netherspite historian,northshire cleric,novice engineer,potion of madness,power word shield,priest of the feast,primordial drake,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,twilight drake,0
986830-midrange-dragon-priest,acidic swamp ooze,acidic swamp ooze,cabal shadow priest,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,primordial drake,primordial drake,radiant elemental,radiant elemental,twilight acolyte,twilight acolyte,twilight drake,twilight drake,zola the gorgon,1
986813-kac-dragon-raza,bloodmage thalnos,bone drake,bonemare,book wyrm,cabal shadow priest,cobalt scalebane,curious glimmerroot,dragonfire potion,dragonslayer,drakonid operative,duskbreaker,holy smite,kazakus,netherspite historian,northshire cleric,potion of madness,priest of the feast,primordial drake,psionic probe,psychic scream,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,spirit lash,tar creeper,twilight acolyte,twilight drake,unidentified elixir,0
986805-dnk,awaken the makers,bone drake,book wyrm,cairne bloodhoof,carnivorous cube,dragonfire potion,drakonid operative,duskbreaker,faerie dragon,hoarding dragon,kazakus,netherspite historian,northshire cleric,nzoth the corruptor,obsidian statue,potion of madness,primordial drake,psychic scream,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,spiritsinger umbra,temporus,tortollan shellraiser,twilight acolyte,twilight drake,twilights call,zola the gorgon,-1
986803-dragon-priest-theory-craft,cabal shadow priest,cabal shadow priest,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
986795-tempo-dragon-priest,book wyrm,cabal shadow priest,cabal shadow priest,deathwing,divine spirit,drakonid operative,duskbreaker,duskbreaker,inner fire,netherspite historian,northshire cleric,northshire cleric,pint size potion,pint size potion,potion of madness,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word horror,shadow word horror,shadow word pain,twilight acolyte,twilight acolyte,void ripper,void ripper,1
986777-miracle-priest,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,ebon dragonsmith,gadgetzan auctioneer,gadgetzan auctioneer,gilded gargoyle,gilded gargoyle,lesser diamond spellstone,lesser diamond spellstone,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadowreaper anduin,silence,1
986763-eternal-darkness-big-priest,barnes,circle of healing,circle of healing,embrace the shadow,embrace the shadow,eternal servitude,eternal servitude,greater healing potion,greater healing potion,lesser diamond spellstone,lesser diamond spellstone,mass dispel,obsidian statue,obsidian statue,potion of madness,potion of madness,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,silence,spirit lash,the darkness,ysera,yshaarj rage unbound,2
986746-the-grinch-who-stole-christmas,acidic swamp ooze,acidic swamp ooze,bloodsail corsair,bloodsail corsair,cabal shadow priest,cabal shadow priest,corrosive sludge,corrosive sludge,crystalline oracle,crystalline oracle,curious glimmerroot,curious glimmerroot,devour mind,devour mind,gluttonous ooze,gluttonous ooze,harrison jones,mind control,mind control,mind vision,mind vision,potion of madness,psionic probe,psionic probe,shadow madness,shadow madness,thoughtsteal,thoughtsteal,toxic sewer ooze,toxic sewer ooze,-1
986732-kac-dragon-razakus-priest,alexstrasza,bone drake,book wyrm,cobalt scalebane,curious glimmerroot,doomsayer,dragon soul,dragonfire potion,drakonid operative,duskbreaker,elise the trailblazer,free from amber,gluttonous ooze,kabal songstealer,kazakus,lyra the sunshard,netherspite historian,northshire cleric,pint size potion,potion of madness,power word shield,primordial drake,raza the chained,shadow visions,shadow word death,shadow word horror,shadow word pain,shadowreaper anduin,twilight acolyte,twilight drake,0
986727-hdq-inner-fire-dragon-priest-w-videos,cobalt scalebane,divine spirit,divine spirit,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,inner fire,inner fire,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,tar creeper,tar creeper,twilight drake,twilight drake,1
986673-dragon-priest,cobalt scalebane,cobalt scalebane,curious glimmerroot,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
986667-kac-hungry-dragon-priest,bonemare,divine spirit,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,hungry ettin,hungry ettin,inner fire,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,priest of the feast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
986634-silence-priest,ancient watcher,ancient watcher,divine spirit,divine spirit,dragon soul,faceless shambler,faceless shambler,humongous razorleaf,humongous razorleaf,inner fire,inner fire,kabal talonpriest,kabal talonpriest,lyra the sunshard,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,purify,purify,radiant elemental,radiant elemental,shadow visions,shadow visions,silence,silence,unidentified elixir,unidentified elixir,4
986620-tempo-buff-priest,bonemare,bonemare,cobalt scalebane,cobalt scalebane,defender of argus,defender of argus,devilsaur egg,devilsaur egg,divine spirit,divine spirit,fungalmancer,fungalmancer,inner fire,inner fire,kabal talonpriest,kabal talonpriest,northshire cleric,northshire cleric,power word shield,power word shield,radiant elemental,radiant elemental,shadow ascendant,shadow ascendant,shadow visions,shadow visions,silence,the lich king,unidentified elixir,unidentified elixir,5
986614-miracle-dragon-priest,cobalt scalebane,cobalt scalebane,divine spirit,divine spirit,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,gilded gargoyle,gilded gargoyle,inner fire,inner fire,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,psionic probe,psionic probe,radiant elemental,radiant elemental,shadow visions,shadow visions,unidentified elixir,unidentified elixir,1
986601-neorebellion-otk-priest,acolyte of pain,acolyte of pain,auchenai soulpriest,auchenai soulpriest,circle of healing,circle of healing,corrupted healbot,corrupted healbot,dragonfire potion,embrace the shadow,kabal talonpriest,kabal talonpriest,northshire cleric,northshire cleric,novice engineer,novice engineer,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,spirit lash,twilights call,twilights call,wild pyromancer,wild pyromancer,3
986590-dragon-priest,cobalt scalebane,cobalt scalebane,divine spirit,divine spirit,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,inner fire,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,priest of the feast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,silence,twilight drake,twilight drake,1
986554-temporus-priest,cabal shadow priest,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,malygos,mind blast,mind blast,mirage caller,mirage caller,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,priest of the feast,priest of the feast,prophet velen,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,temporus,twilight acolyte,twilight acolyte,1
986533-drake-priest,bone drake,bone drake,book wyrm,book wyrm,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
986530-dragons-its-dumb,book wyrm,book wyrm,deathwing dragonlord,dragonfire potion,dragonfire potion,dragonhatcher,dragonhatcher,drakkari enchanter,drakkari enchanter,drakonid operative,drakonid operative,duskbreaker,duskbreaker,master oakheart,potion of madness,potion of madness,primordial drake,primordial drake,psychic scream,shadow word death,shadow word death,shadow word pain,shadow word pain,sleepy dragon,sleepy dragon,twilight drake,twilight drake,twilights call,twilights call,ysera,1
986524-dragons,cobalt scalebane,cobalt scalebane,divine spirit,divine spirit,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,silence,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
986521-nzoth-priest,carnivorous cube,carnivorous cube,crystalline oracle,crystalline oracle,dragonfire potion,dragonfire potion,gilded gargoyle,gilded gargoyle,lyra the sunshard,mirage caller,mirage caller,northshire cleric,northshire cleric,nzoth the corruptor,obsidian statue,obsidian statue,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,7
986513-otk-healbot-kobolds-catacombs,acolyte of pain,acolyte of pain,auchenai soulpriest,auchenai soulpriest,circle of healing,circle of healing,corrupted healbot,corrupted healbot,dragonfire potion,dragonfire potion,embrace the shadow,embrace the shadow,eternal servitude,eternal servitude,greater healing potion,greater healing potion,hemet jungle hunter,northshire cleric,northshire cleric,priest of the feast,priest of the feast,psychic scream,radiant elemental,radiant elemental,shadow essence,shadow essence,shadow visions,shadow visions,twilights call,twilights call,3
986510-k-c-control-dragon-priest,book wyrm,book wyrm,deathwing,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,primordial drake,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,1
986489-enchantress,boisterous bard,boisterous bard,cobalt scalebane,cobalt scalebane,drakkari enchanter,drakkari enchanter,gravelsnout knight,gravelsnout knight,herald volazj,mirage caller,mirage caller,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow ascendant,shadow ascendant,shrieking shroom,shrieking shroom,the lich king,tortollan shellraiser,tortollan shellraiser,unidentified elixir,unidentified elixir,young priestess,young priestess,-1
986462-otk-temporus-priest,circle of healing,circle of healing,dragonfire potion,dragonfire potion,duskbreaker,duskbreaker,embrace the shadow,embrace the shadow,holy fire,holy smite,holy smite,malygos,mind blast,mind blast,pint size potion,pint size potion,potion of madness,potion of madness,power word shield,power word shield,psychic scream,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadow word pain,temporus,-1
986425-knc-highlander-priest,acolyte of pain,bloodmage thalnos,doomsayer,dragonfire potion,golakka crawler,greater healing potion,holy smite,kabal courier,kazakus,loot hoarder,lyra the sunshard,mind blast,northshire cleric,novice engineer,pint size potion,potion of madness,power word shield,priest of the feast,prophet velen,psionic probe,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word horror,shadow word pain,shadowreaper anduin,tar creeper,wild pyromancer,0
986424-dragon-priest-kobolds-catacombs,bone drake,bone drake,divine spirit,divine spirit,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,harrison jones,inner fire,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,primordial drake,primordial drake,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,twilight acolyte,twilight acolyte,1
986401-kc-dragon-priest,cabal shadow priest,divine spirit,divine spirit,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,inner fire,inner fire,kabal talonpriest,kabal talonpriest,lyra the sunshard,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,priest of the feast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,tar creeper,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
986389-preist-leg-weapon-deck,barnes,dragon soul,gilded gargoyle,gilded gargoyle,lesser diamond spellstone,lesser diamond spellstone,lyra the sunshard,master oakheart,mirage caller,mirage caller,obsidian statue,obsidian statue,pint size potion,pint size potion,potion of madness,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word horror,shadow word horror,shadowreaper anduin,spiritsinger umbra,the voraxx,twilights call,twilights call,zola the gorgon,-1
986381-dragonpriest,bone drake,bone drake,cabal shadow priest,cabal shadow priest,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,lyra the sunshard,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,primordial drake,primordial drake,shadow visions,shadow visions,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,unidentified elixir,ysera,1
986370-kotft-budget-tempo-priest,bonemare,bonemare,cobalt scalebane,cobalt scalebane,defender of argus,defender of argus,fire fly,fire fly,golakka crawler,golakka crawler,kabal talonpriest,kabal talonpriest,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,saronite chain gang,shadow ascendant,shadow ascendant,shadow word pain,shadow word pain,tar creeper,tar creeper,temple enforcer,temple enforcer,the lich king,-1
986369-dragon-priest,bonemare,bonemare,book wyrm,cabal shadow priest,cobalt scalebane,cobalt scalebane,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,priest of the feast,priest of the feast,radiant elemental,radiant elemental,shadow word death,shadow word pain,shadow word pain,tar creeper,tar creeper,twilight acolyte,twilight acolyte,1
