Name,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Card 30
979615-new-razakus-priest,silence,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,shadow word death,twilight acolyte,duskbreaker,priest of the feast,drakonid operative,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,bloodmage thalnos,dirty rat,golakka crawler,novice engineer,wild pyromancer,acolyte of pain,kazakus,twilight drake,book wyrm
979534-k-c-razakus-priest-with-dragons,circle of healing,silence,holy smite,northshire cleric,potion of madness,power word shield,mind blast,shadow visions,shadow word pain,spirit lash,shadow word death,twilight acolyte,auchenai soulpriest,duskbreaker,priest of the feast,drakonid operative,raza the chained,cabal shadow priest,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,bloodmage thalnos,netherspite historian,novice engineer,wild pyromancer,acolyte of pain,kazakus,twilight drake,book wyrm
979419-razakus,silence,binding heal,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,shadow word death,twilight acolyte,duskbreaker,priest of the feast,drakonid operative,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,bloodmage thalnos,loot hoarder,netherspite historian,novice engineer,kazakus,twilight drake,harrison jones,book wyrm,primordial drake,ysera
979340-dragon-raza-priest,circle of healing,silence,binding heal,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,dragon soul,shadow word death,twilight acolyte,auchenai soulpriest,duskbreaker,priest of the feast,drakonid operative,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,acolyte of pain,kazakus,twilight drake,gadgetzan auctioneer,primordial drake
979151-k-c-razakus-dragon,silence,holy smite,northshire cleric,pint size potion,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,shadow word death,twilight acolyte,duskbreaker,greater healing potion,shadow word horror,drakonid operative,lyra the sunshard,raza the chained,cabal shadow priest,dragonfire potion,psychic scream,shadowreaper anduin,faerie dragon,kazakus,twilight drake,cobalt scalebane,bone drake,book wyrm,primordial drake,alexstrasza
979092-04-12-17-priest-minions-raza-prince-kel,crystalline oracle,northshire cleric,potion of madness,power word shield,curious glimmerroot,kabal talonpriest,shadow word death,shifting shade,tortollan shellraiser,kabal songstealer,raza the chained,cabal shadow priest,dragonfire potion,shadowreaper anduin,obsidian statue,bloodsail corsair,fire fly,mistress of mixtures,patches the pirate,prince keleseth,acolyte of pain,southsea captain,tar creeper,kazakus,saronite chain gang,cobalt scalebane,cairne bloodhoof,bonemare,primordial drake,nzoth the corruptor
979081-razakus,circle of healing,silence,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,twilight acolyte,auchenai soulpriest,duskbreaker,priest of the feast,drakonid operative,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,wild pyromancer,acolyte of pain,giant wasp,kazakus,book wyrm,the curator,primordial drake,alexstrasza
979017-kobold-raza-dk-dragon-priest,northshire cleric,pint size potion,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,kabal talonpriest,shadow word death,twilight acolyte,duskbreaker,priest of the feast,shadow word horror,drakonid operative,raza the chained,cabal shadow priest,dragonfire potion,psychic scream,shadowreaper anduin,netherspite historian,acolyte of pain,tar creeper,eater of secrets,gnomish inventor,kazakus,twilight drake,cobalt scalebane,book wyrm,primordial drake,ysera
978875-razakus-priest-kobolds,silence,binding heal,holy smite,northshire cleric,potion of madness,power word shield,mind blast,shadow visions,shadow word pain,curious glimmerroot,shadow word death,duskbreaker,priest of the feast,drakonid operative,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,bloodmage thalnos,loot hoarder,netherspite historian,novice engineer,acolyte of pain,tar creeper,gnomish inventor,kazakus,twilight drake,book wyrm,primordial drake
978755-raza-dragron,circle of healing,crystalline oracle,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,curious glimmerroot,kabal talonpriest,shadow word death,auchenai soulpriest,priest of the feast,shifting shade,drakonid operative,raza the chained,dragonfire potion,free from amber,shadowreaper anduin,obsidian statue,netherspite historian,novice engineer,kazakus,twilight drake,cobalt scalebane,elise the trailblazer,bone drake,primordial drake,ysera,deathwing dragonlord
978501-kac-zalaes-razakus-priest,circle of healing,silence,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,curious glimmerroot,shadow word death,auchenai soulpriest,duskbreaker,priest of the feast,drakonid operative,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,bloodmage thalnos,loot hoarder,netherspite historian,novice engineer,acolyte of pain,kazakus,twilight drake,book wyrm,primordial drake
978397-quest-razakus-priest,silence,awaken the makers,crystalline oracle,northshire cleric,potion of madness,power word shield,shadow visions,shadow word pain,spirit lash,shadow word death,thoughtsteal,priest of the feast,tortollan shellraiser,kabal songstealer,lyra the sunshard,raza the chained,dragonfire potion,archbishop benedictus,shadowreaper anduin,obsidian statue,mistress of mixtures,bloodmage thalnos,doomsayer,loot hoarder,infested tauren,kazakus,polluted hoarder,cairne bloodhoof,skulking geist,nzoth the corruptor
978051-razakus,circle of healing,silence,binding heal,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,auchenai soulpriest,priest of the feast,raza the chained,dragonfire potion,holy fire,prophet velen,shadowreaper anduin,bloodmage thalnos,golakka crawler,novice engineer,wild pyromancer,acolyte of pain,gnomish inventor,kazakus,big game hunter,gadgetzan auctioneer
978006-knc-razakus-priest,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,duskbreaker,greater healing potion,priest of the feast,drakonid operative,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,loot hoarder,novice engineer,acolyte of pain,gnomish inventor,kazakus,twilight drake,book wyrm,primordial drake,ysera
975487-kac-razakus-dragon-priest,circle of healing,silence,holy smite,northshire cleric,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,curious glimmerroot,kabal talonpriest,shadow word death,twilight acolyte,auchenai soulpriest,duskbreaker,drakonid operative,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,netherspite historian,novice engineer,acolyte of pain,zola the gorgon,kazakus,twilight drake,book wyrm,primordial drake
977687-incomplete-tier-1-razakus,silence,northshire cleric,potion of madness,power word shield,psionic probe,mind blast,radiant elemental,shadow visions,shadow word pain,curious glimmerroot,kabal talonpriest,shadow word death,twilight acolyte,duskbreaker,priest of the feast,drakonid operative,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,loot hoarder,netherspite historian,novice engineer,wild pyromancer,acolyte of pain,kazakus,twilight drake,book wyrm,primordial drake
975285-highlander-razakus,circle of healing,silence,binding heal,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,auchenai soulpriest,priest of the feast,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,bloodmage thalnos,golakka crawler,loot hoarder,novice engineer,wild pyromancer,acolyte of pain,tar creeper,kazakus
977467-k-c-razaquest-priest,awaken the makers,crystalline oracle,potion of madness,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,twilights call,shifting shade,tortollan shellraiser,onyx bishop,raza the chained,dragonfire potion,lesser diamond spellstone,psychic scream,shadowreaper anduin,obsidian statue,mistress of mixtures,bloodmage thalnos,dirty rat,stonehill defender,tar creeper,zola the gorgon,barnes,kazakus,cairne bloodhoof,skulking geist,the black knight,nzoth the corruptor
977352-raza-priest-k-c,circle of healing,silence,mind vision,northshire cleric,pint size potion,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,dragon soul,shadow word death,thoughtsteal,twilights call,unidentified elixir,duskbreaker,mass dispel,priest of the feast,shadow word horror,tortollan shellraiser,kabal songstealer,lyra the sunshard,raza the chained,prophet velen,psychic scream,shadowreaper anduin,mistress of mixtures,loot hoarder,volatile elemental,zola the gorgon
977115-kobold-razakus,awaken the makers,crystalline oracle,northshire cleric,pint size potion,potion of madness,power word shield,mind blast,shadow visions,shadow word pain,spirit lash,shadow word death,twilights call,eternal servitude,greater healing potion,priest of the feast,shadow word horror,shifting shade,tortollan shellraiser,raza the chained,dragonfire potion,lesser diamond spellstone,prophet velen,psychic scream,free from amber,shadowreaper anduin,obsidian statue,bloodmage thalnos,dirty rat,kazakus,nzoth the corruptor
977055-quest-razakus,circle of healing,silence,awaken the makers,northshire cleric,pint size potion,power word shield,radiant elemental,shadow visions,shadow word pain,shadow word death,twilights call,auchenai soulpriest,eternal servitude,priest of the feast,shadow word horror,tortollan shellraiser,lyra the sunshard,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,loot hoarder,zola the gorgon,arfus,barnes,infested tauren,kazakus,carnivorous cube,cairne bloodhoof,nzoth the corruptor
976924-dragon-razakus-priest-kac-from-december-2017,holy smite,northshire cleric,pint size potion,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,dragon soul,unidentified elixir,duskbreaker,greater healing potion,shadow word horror,drakonid operative,lyra the sunshard,raza the chained,dragonfire potion,lesser diamond spellstone,psychic scream,temporus,shadowreaper anduin,netherspite historian,gluttonous ooze,zola the gorgon,twilight drake,alexstrasza,arcane giant
976713-blastoises-tempo-razakus-priest,silence,crystalline oracle,northshire cleric,potion of madness,power word shield,curious glimmerroot,kabal talonpriest,shadow word death,eternal servitude,shifting shade,tortollan shellraiser,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,bloodsail corsair,fire fly,mistress of mixtures,patches the pirate,prince keleseth,acolyte of pain,tar creeper,dread corsair,kazakus,cobalt scalebane,cairne bloodhoof,skulking geist,bonemare,primordial drake,nzoth the corruptor
976552-razakus-dragon-priest-with-quest-k-c,circle of healing,silence,awaken the makers,northshire cleric,pint size potion,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,dragon soul,shadow word death,twilights call,duskbreaker,greater healing potion,shadow word horror,drakonid operative,lyra the sunshard,raza the chained,prophet velen,psychic scream,shadowreaper anduin,obsidian statue,bloodmage thalnos,hoarding dragon,kazakus,carnivorous cube,marin the fox,nzoth the corruptor
974385-tempo-priest-nzoth-raza-greedy,silence,crystalline oracle,northshire cleric,potion of madness,power word shield,curious glimmerroot,kabal talonpriest,shadow word death,shifting shade,tortollan shellraiser,raza the chained,cabal shadow priest,dragonfire potion,shadowreaper anduin,obsidian statue,bloodsail corsair,fire fly,patches the pirate,prince keleseth,acolyte of pain,southsea captain,tar creeper,kazakus,cobalt scalebane,elise the trailblazer,leeroy jenkins,cairne bloodhoof,bonemare,primordial drake,nzoth the corruptor
976335-razakus,circle of healing,holy smite,northshire cleric,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,twilight acolyte,auchenai soulpriest,duskbreaker,priest of the feast,drakonid operative,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,netherspite historian,coldlight oracle,giant wasp,kazakus,twilight drake,cobalt scalebane,the curator,primordial drake
976131-dragon-razakus-priest,silence,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,kabal talonpriest,shadow word death,twilight acolyte,duskbreaker,greater healing potion,drakonid operative,raza the chained,dragonfire potion,holy fire,prophet velen,shadowreaper anduin,snowflipper penguin,netherspite historian,coldlight oracle,gnomish inventor,kazakus,twilight drake,book wyrm,the curator,primordial drake,alexstrasza
975984-raza-dragon,crystalline oracle,northshire cleric,potion of madness,power word shield,curious glimmerroot,kabal talonpriest,shadow word death,drakonid operative,kabal songstealer,raza the chained,cabal shadow priest,dragonfire potion,shadowreaper anduin,bloodsail corsair,fire fly,mistress of mixtures,patches the pirate,prince keleseth,acolyte of pain,southsea captain,tar creeper,kazakus,saronite chain gang,twilight drake,cobalt scalebane,bone drake,book wyrm,bonemare,primordial drake,alexstrasza
975577-dragonrattle-raza,crystalline oracle,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,shadow word death,twilights call,duskbreaker,shifting shade,tortollan shellraiser,drakonid operative,raza the chained,dragonfire potion,psychic scream,shadowreaper anduin,obsidian statue,bloodmage thalnos,loot hoarder,netherspite historian,kazakus,twilight drake,cobalt scalebane,bone drake,book wyrm,primordial drake,ysera,nzoth the corruptor
975498-quest-razakus-without-anduin,awaken the makers,crystalline oracle,potion of madness,shadow word pain,mirage caller,shadow word death,twilights call,shadow madness,shifting shade,tortollan shellraiser,holy nova,raza the chained,cabal shadow priest,dragonfire potion,lesser diamond spellstone,psychic scream,free from amber,obsidian statue,mistress of mixtures,bloodmage thalnos,dirty rat,gluttonous ooze,shallow gravedigger,arfus,barnes,infested tauren,kazakus,guild recruiter,cairne bloodhoof,nzoth the corruptor
974865-junk-tempo-rogue-razakus-priest,crystalline oracle,northshire cleric,potion of madness,power word shield,curious glimmerroot,kabal talonpriest,shadow word death,drakonid operative,kabal songstealer,raza the chained,cabal shadow priest,dragonfire potion,shadowreaper anduin,bloodsail corsair,fire fly,mistress of mixtures,patches the pirate,prince keleseth,acolyte of pain,southsea captain,tar creeper,gnomish inventor,kazakus,saronite chain gang,twilight drake,cobalt scalebane,bone drake,book wyrm,bonemare,primordial drake
974458-raza-priest,silence,mind vision,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,curious glimmerroot,kabal talonpriest,shadow word death,greater healing potion,mass dispel,priest of the feast,shadow word horror,kabal songstealer,lyra the sunshard,raza the chained,cabal shadow priest,dragonfire potion,prophet velen,shadowreaper anduin,obsidian statue,bloodmage thalnos,golakka crawler,acolyte of pain,tar creeper,kazakus,elise the trailblazer
974453-elemental-razakus,crystalline oracle,northshire cleric,potion of madness,radiant elemental,shadow visions,shadow word pain,curious glimmerroot,kabal talonpriest,shadow word death,greater healing potion,lightspawn,priest of the feast,lyra the sunshard,raza the chained,cabal shadow priest,dragonfire potion,shadowreaper anduin,obsidian statue,fire fly,crazed alchemist,igneous elemental,tar creeper,fire plume phoenix,kazakus,tolvir stoneshaper,elise the trailblazer,servant of kalimos,blazecaller,stormwatcher,marin the fox
974412-theorycrafting-dragon-raza-priest,northshire cleric,pint size potion,potion of madness,power word shield,mind blast,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,duskbreaker,greater healing potion,priest of the feast,shadow word horror,drakonid operative,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,bloodmage thalnos,doomsayer,loot hoarder,netherspite historian,acolyte of pain,gluttonous ooze,zola the gorgon,gnomish inventor,kazakus,twilight drake,elise the trailblazer
972312-raza-priest-kobolds-edition,silence,holy smite,northshire cleric,pint size potion,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,greater healing potion,mass dispel,priest of the feast,shadow word horror,holy nova,kabal songstealer,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,novice engineer,tar creeper,gnomish inventor,kazakus,alexstrasza
974091-raza-velen-dragon,circle of healing,silence,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,shadow word death,twilight acolyte,auchenai soulpriest,duskbreaker,priest of the feast,drakonid operative,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,bloodmage thalnos,loot hoarder,netherspite historian,novice engineer,acolyte of pain,kazakus,twilight drake,book wyrm,primordial drake
973755-razakus-mill-priest,circle of healing,binding heal,holy smite,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,spirit lash,shadow word death,thoughtsteal,auchenai soulpriest,raza the chained,dragonfire potion,archbishop benedictus,prophet velen,shadowreaper anduin,fire fly,acidic swamp ooze,bloodmage thalnos,dirty rat,golakka crawler,wild pyromancer,youthful brewmaster,coldlight oracle,coldlight oracle,king mukla,kazakus,hemet jungle hunter,skulking geist
973662-theorycraft-raza-dragons,silence,northshire cleric,potion of madness,power word shield,shadow visions,shadow word pain,curious glimmerroot,dragon soul,kabal talonpriest,shadow word death,duskbreaker,priest of the feast,drakonid operative,raza the chained,dragonfire potion,psychic scream,temporus,shadowreaper anduin,netherspite historian,gluttonous ooze,lone champion,tar creeper,zola the gorgon,hoarding dragon,kazakus,twilight drake,harrison jones,bone drake,book wyrm,primordial drake
973598-projectedens-legend-razakus-priest,silence,holy smite,northshire cleric,pint size potion,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,greater healing potion,priest of the feast,shadow word horror,holy nova,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,bloodmage thalnos,golakka crawler,loot hoarder,novice engineer,acolyte of pain,tar creeper,gnomish inventor,kazakus
973480-dragon-razakus-priest,inner fire,northshire cleric,pint size potion,potion of madness,power word shield,divine spirit,radiant elemental,shadow visions,shadow word pain,spirit lash,kabal talonpriest,shadow word death,eternal servitude,greater healing potion,priest of the feast,shadow madness,shadow word horror,drakonid operative,holy nova,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,netherspite historian,kazakus,twilight drake,cobalt scalebane,bone drake,alexstrasza
973293-raza-drag,crystalline oracle,northshire cleric,power word shield,shadow visions,shadow word pain,curious glimmerroot,kabal talonpriest,shadow word death,duskbreaker,raza the chained,dragonfire potion,psychic scream,free from amber,shadowreaper anduin,obsidian statue,bloodsail corsair,fire fly,mistress of mixtures,patches the pirate,prince keleseth,southsea captain,kazakus,twilight drake,arcane tyrant,cobalt scalebane,book wyrm,bonemare,medivh the guardian,primordial drake,ysera
973079-dragonic-razakas,silence,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,kabal talonpriest,shadow word death,duskbreaker,priest of the feast,drakonid operative,raza the chained,dragonfire potion,prophet velen,psychic scream,temporus,shadowreaper anduin,bloodmage thalnos,golakka crawler,netherspite historian,wild pyromancer,acolyte of pain,kazakus,book wyrm,gadgetzan auctioneer,primordial drake
973051-razakas-gnc,circle of healing,silence,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,unidentified elixir,auchenai soulpriest,priest of the feast,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,bloodmage thalnos,golakka crawler,wild pyromancer,acolyte of pain,lone champion,tar creeper,kazakus
972994-razakus-museum-priest-for-week-1,silence,holy smite,northshire cleric,pint size potion,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,greater healing potion,priest of the feast,shadow word horror,holy nova,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,mistress of mixtures,acidic swamp ooze,bloodmage thalnos,doomsayer,gluttonous ooze,kabal courier,kazakus,harrison jones,skulking geist
972649-prince-razakus-with-dragons,crystalline oracle,northshire cleric,potion of madness,power word shield,curious glimmerroot,kabal talonpriest,unidentified elixir,duskbreaker,drakonid operative,raza the chained,cabal shadow priest,dragonfire potion,psychic scream,shadowreaper anduin,obsidian statue,bloodsail corsair,fire fly,mistress of mixtures,patches the pirate,prince keleseth,southsea captain,tar creeper,kazakus,saronite chain gang,cobalt scalebane,bone drake,book wyrm,hemet jungle hunter,bonemare,primordial drake
972620-elemental-razakus,circle of healing,silence,crystalline oracle,holy smite,northshire cleric,power word shield,mana geode,radiant elemental,kabal talonpriest,shadow word death,auchenai soulpriest,priest of the feast,tortollan shellraiser,lyra the sunshard,raza the chained,dragonfire potion,holy fire,prophet velen,shadowreaper anduin,obsidian statue,fire fly,golakka crawler,tar creeper,kazakus,tolvir stoneshaper,servant of kalimos,cairne bloodhoof,blazecaller,bonemare,nzoth the corruptor
972603-value-nzoth-razakus,circle of healing,silence,crystalline oracle,northshire cleric,potion of madness,power word shield,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,auchenai soulpriest,greater healing potion,priest of the feast,tortollan shellraiser,devour mind,kabal songstealer,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,obsidian statue,fire fly,bloodmage thalnos,golakka crawler,acolyte of pain,kazakus,elise the trailblazer,cairne bloodhoof,nzoth the corruptor
972562-knc-razakus-priest,circle of healing,silence,binding heal,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,auchenai soulpriest,priest of the feast,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,bloodmage thalnos,golakka crawler,loot hoarder,novice engineer,wild pyromancer,acolyte of pain,harrison jones
972287-kac-temporus-razakus,silence,holy smite,northshire cleric,pint size potion,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,dragon soul,shadow word death,duskbreaker,greater healing potion,shadow word horror,drakonid operative,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,temporus,shadowreaper anduin,bloodmage thalnos,doomsayer,novice engineer,acolyte of pain,kazakus,malygos
972149-tempo-keleseth-razakus-priest,northshire cleric,potion of madness,power word shield,curious glimmerroot,kabal talonpriest,shadow word death,drakonid operative,kabal songstealer,raza the chained,dragonfire potion,shadowreaper anduin,bloodsail corsair,fire fly,mistress of mixtures,patches the pirate,prince keleseth,acolyte of pain,southsea captain,tar creeper,gnomish inventor,kazakus,saronite chain gang,twilight drake,bittertide hydra,cobalt scalebane,cairne bloodhoof,hemet jungle hunter,bonemare,the curator,primordial drake
972132-holy-fire-auctioneer-razakus-priest,circle of healing,silence,binding heal,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,auchenai soulpriest,priest of the feast,holy nova,raza the chained,dragonfire potion,holy fire,prophet velen,shadowreaper anduin,bloodmage thalnos,doomsayer,loot hoarder,novice engineer,acolyte of pain,kazakus,gadgetzan auctioneer
971956-nzoth-razakus,northshire cleric,potion of madness,power word shield,shadow word pain,spirit lash,kabal talonpriest,shadow word death,shifting shade,tortollan shellraiser,kabal songstealer,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,bloodsail corsair,mistress of mixtures,patches the pirate,bloodmage thalnos,doomsayer,acolyte of pain,kabal courier,southsea captain,tar creeper,barnes,gnomish inventor,kazakus,cobalt scalebane,cairne bloodhoof,bonemare,nzoth the corruptor
971744-prince-raza-aggro-got-me-legend,crystalline oracle,northshire cleric,curious glimmerroot,kabal talonpriest,shadow word death,drakonid operative,kabal songstealer,raza the chained,dragonfire potion,shadowreaper anduin,bloodsail corsair,fire fly,mistress of mixtures,patches the pirate,prince keleseth,acolyte of pain,blubber baron,sergeant sally,southsea captain,stonehill defender,tar creeper,vicious fledgling,cult master,kazakus,saronite chain gang,spellbreaker,twilight drake,cobalt scalebane,bonemare,primordial drake
971671-princeraza,crystalline oracle,northshire cleric,power word shield,curious glimmerroot,kabal talonpriest,shadow word death,drakonid operative,kabal songstealer,raza the chained,dragonfire potion,shadowreaper anduin,bloodsail corsair,fire fly,mistress of mixtures,patches the pirate,prince keleseth,acolyte of pain,blubber baron,southsea captain,stonehill defender,tar creeper,vicious fledgling,cult master,kazakus,saronite chain gang,spellbreaker,twilight drake,cobalt scalebane,bonemare,primordial drake
971590-razakness,silence,crystalline oracle,holy smite,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,mirage caller,shadow word death,greater healing potion,mass dispel,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,bloodmage thalnos,dirty rat,doomsayer,loot hoarder,novice engineer,acolyte of pain,kazakus,the darkness,harrison jones,skulking geist
971009-new-razakus-priest,circle of healing,silence,holy smite,northshire cleric,pint size potion,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,dragon soul,shadow word death,auchenai soulpriest,greater healing potion,priest of the feast,shadow word horror,holy nova,lyra the sunshard,raza the chained,dragonfire potion,psychic scream,shadowreaper anduin,bloodmage thalnos,doomsayer,novice engineer,kazakus,elise the trailblazer,harrison jones
970867-raza-dragon,silence,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,dragon soul,shadow word death,duskbreaker,shadow word horror,drakonid operative,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,temporus,shadowreaper anduin,obsidian statue,bloodmage thalnos,netherspite historian,kazakus,twilight drake,cobalt scalebane,elise the trailblazer,book wyrm,primordial drake,the lich king,ysera
969573-trumps-keleseth-raza-priest,crystalline oracle,northshire cleric,potion of madness,power word shield,curious glimmerroot,kabal talonpriest,shadow word death,drakonid operative,kabal songstealer,raza the chained,cabal shadow priest,dragonfire potion,shadowreaper anduin,bloodsail corsair,fire fly,mistress of mixtures,patches the pirate,prince keleseth,acolyte of pain,southsea captain,tar creeper,gnomish inventor,kazakus,saronite chain gang,twilight drake,cobalt scalebane,cairne bloodhoof,hemet jungle hunter,bonemare,primordial drake
970651-kobolds-theorycraft-razakus-dragon-priest,silence,binding heal,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,duskbreaker,drakonid operative,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,psychic scream,shadowreaper anduin,netherspite historian,zola the gorgon,kazakus,twilight drake,cobalt scalebane,bone drake,book wyrm,primordial drake
970624-kobolds-razakus-priest,silence,binding heal,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,duskbreaker,priest of the feast,drakonid operative,lyra the sunshard,raza the chained,prophet velen,shadowreaper anduin,bloodmage thalnos,loot hoarder,novice engineer,acolyte of pain,zola the gorgon,gnomish inventor,kazakus,twilight drake,cobalt scalebane
967210-twinks-top-legend-razakus-video-guide,circle of healing,silence,binding heal,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,auchenai soulpriest,priest of the feast,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,bloodmage thalnos,golakka crawler,loot hoarder,novice engineer,wild pyromancer,acolyte of pain,tar creeper,kazakus,gadgetzan auctioneer
968731-shadowreaping-razakus-zoo-2-0,northshire cleric,curious glimmerroot,kabal talonpriest,duskbreaker,drakonid operative,holy nova,raza the chained,cabal shadow priest,free from amber,shadowreaper anduin,mind control,acherus veteran,bloodsail corsair,fire fly,lightwarden,patches the pirate,prince keleseth,deathspeaker,gluttonous ooze,happy ghoul,southsea captain,tar creeper,defender of argus,kazakus,twilight drake,bittertide hydra,cobalt scalebane,bone drake,spiteful summoner,bonemare
